S.No,Company Name,Company profile,Country,Acquired Year,Acquired by
1,NerveWire,IT consulting company offering financial services,USA,2003,Wipro
2,New Logic,Semiconductor design services ,Austria,2005,Wipro
3,Hydrauto,Hydraulic components and solutions provider,Sweden,2006,Wipro
4,Unza,Private label personal care products brand,Malaysia,2007,Wipro
5,Infocrossing,Infrastructure Management,USA,2007,Wipro
6,Oki Techno Centre,Semiconductor design,Singapore,2007,Wipro
7,Yardley of London, Personal care brand,UK,2009,Wipro
8,Promax Applications Group,"Trade promotion planning, management, and optimization solutions",Australia,2012,Wipro
9,Opus,Risk management & QC services provider,USA,2013,Wipro
10,Vignani Solutions,"Manufacture of accumulators, primary cells and primary batteries",India,2013,Wipro
11,ATCOItek,IT services for logistics and utilities,Canada,2014,Wipro
12,Cellent,IT consulting and services provider,Germany,2015,Wipro
13,Designit,Design Firm,Denmark,2015,Wipro
14,Appirio,Cloud Computing Solution Provider,USA,2016,Wipro
15,Topcoder (Appirio), Crowdsourcing,USA,2016,Wipro
16,HealthPlan Services,Services for the insurance managed care industries,USA,2016,Wipro
17,Givon,Manufacturer of metallic parts and assemblies for the aerospace industry,Israel,2016,Wipro
18,InfoSERVER,"IT Consulting, Development, Infrastructure, and Risk Analysis Company",Brazil,2017,Wipro
19,Alight,HRMS service provider,USA,2018,Wipro
20,syfte,Design services provider,Australia,2018,Wipro
21,International TechneGroup Incorporated (ITI),Computer Aided Design (CAD) and Product Lifecycle Management (PLM) interoperability software services,USA,2019,Wipro
22,ITI Proficiency Ltd,Feature-based data translation software and services,Israel,2019,Wipro
23,Splash Corporation,Personal care company,Philippines,2019,Wipro
24,IVIA,"Business intelligence, application development and outsourcing services",Brazil,2020,Wipro
25,4C, IT services suite and sales force managed services,UK,2020,Wipro
26,Eximius Design,"AI based product & semiconductor design, system validation and test automation services",USA,2020,Wipro
27,Encore Theme Technologies,End to end software solutions for BFSI sectors,India,2020,Wipro
28,Rational Interactions,Customer experience firm,USA,2020,Wipro
29,Capco,Wealth and investment management firm,USA,2021,Wipro
30,Ampion, Enterprise and managed testing services,Australia,2021,Wipro
31,Edgile,Cybersecurity and risk management services provider,USA,2021,Wipro
32, Rizing Intermediate Holdings,Provider of SAP functional and technical consulting services,USA,2022,Wipro
33,BridgePoint,Provider of financial services,USA,2018,TCS
34,Diligenta,Provider of business process and customer services to L&P and insurers,UK,,TCS
35,W12 Studios,Provider of marketing and branding services,UK,2018,TCS
36,Alti,SAP system integrator and consulting services,Europe,2013,TCS
37,Pramerica,Provider of IT service suite solutions,Ireland,2020,TCS
38,Simplus,Provider of Salesforce implementation & consultancy services,USA,2020,Infosys
39,Fluido,"Salesforce consulting, development, integration and training services",Finland,2018,Infosys
40,Panaya,SaaS for ERP change analytics and Enterprise change testing,New Jersey,,Infosys
41,Kaleidoscope,Product designing firm,Ohio,2020,Infosys
42,Carter Digital,"Provider of content development, digital marketing, and SEO services",Melbourne,2021,Infosys
43,mccamish.com,,Georgia,,Infosys
44,Blue Acorn iCi,Provider of app designing & analytics services,South Carolina,2020,Infosys
45,oddity,"Digital marketing, experience, and commerce agency",Germany,2022,Infosys
46,Hitachi Procurement Services,Procurement provisioning solution provider,Chiyoda-ku,2018,Infosys
47,Noah Consulting,Data management service provider, Texas,2015,Infosys
48,WONGDOODY,Provider of customer experience services,Washington,2018,Infosys
49,Brilliant Basics,Application design and development,London,2017,Infosys
50,Skava,Mobile Technology Company,California,2015,Infosys
51,Kallidus Technologies,Construction services provider,Massachusetts,2015,Infosys
52,Stater,Provider of credit brokerage services,Brussels,2019,Infosys
53,Singtel,Integrated telecom and IPTV services provider,Singapore,2021,Infosys
54,Stater,Provider of mortgage and financial services,Dusseldorf,2019,Infosys
55,BASE,"Provider of regulatory affairs, digital marketing, and other services",Lyngby,2022,Infosys
56,Butler America,Provider of staffing services ,Connecticut,2016,HCL
57,Starschema,Provider of business intelligence and big data services,Budapest,2022,HCL
58,Sankalp Semiconductor,"End-to-end solutions provider for IOs, analog and mixed signal chip design ",Hubli,2019,HCL
59,Geometric,Product engineering ,Mumbai,2016,HCL
60,Confinale,Provider of IT services suite solutions,Zurich,2022,HCL
61,ptop.co.uk,,Egham,,HCL
62,PowerObjects,Implementation and support services for Microsoft Dynamics CRM,Minnesota,,HCL
63,H&D International ,Provider of IT services suite,Gifhorn,2018,HCL
64,Quest Informatics,Provider of application development and financial consulting services,Bangalore,2022,HCL
65,Concept2Silicon Systems,Complete solutions provider for complex SoC and system design,Bangalore,,HCL
66,C3i Solutions,"Provider of customer engagement, medical information and social media services",Pennsylvania,2018,HCL
67,Actian,Hybrid data management platform,California,,HCL
68,Strong-Bridge Envision,Provider of business consulting services,Georgia,2019,HCL
69,gbs,"Provider of software & application development, system integration, and IT services",Ratingen,,HCL
70,DWS Australia,IT Services company,Melbourne,2020,HCL
71,DataWave Technologies,Provider of data acquisition and analysis platform for research applications,Colorado,2017,HCL
72,Perigord,Provider of labeling and artwork services for life sciences industry,Dublin,2021,Tech Mahindra
73,LCC,Network services and business consulting and tools for telecommunications,Virginia,2014,Tech Mahindra
74,iPolicy Networks,Network intrusion prevention system ,Noida,2013,Tech Mahindra
75,Comviva,Payment processing solutions for banks & businesses ,Gurgaon,,Tech Mahindra
76,Lodestone,Provider of IT management consulting and games testing services ,California,2021,Tech Mahindra
77,BrainScale,Provider of cloud application development and data analytics services ,New Jersey,2021,Tech Mahindra
78,Complex Consultoria,SAP services provider,Sao Paulo,,Tech Mahindra
79,Zen3,Provider of cloud services,Washington,,Tech Mahindra
